h_ct,h_lat,h_lon
48201330303,29.62687165,-95.49785344
48201330400,29.61668856,-95.45550713
48201330500,29.62370708,-95.43061386
48201330600,29.61306858,-95.43296707
48201330700,29.59821005,-95.44209696
48201330800,29.60087153,-95.35986333
48201330900,29.61312559,-95.40256935
48201331100,29.67495297,-95.36911916
48201331200,29.66351735,-95.37052318
48201331300,29.64617734,-95.37918877
48201331400,29.65263946,-95.36241496
48201331500,29.62719081,-95.36910785
48201331601,29.62828292,-95.34813432
48201331602,29.62926608,-95.32306361
48201331700,29.64335868,-95.33275127
48201331800,29.65267875,-95.34545543
48201331900,29.66267336,-95.34669466
48201332000,29.67244021,-95.34681371
48201332100,29.6803818,-95.34438503
48201332200,29.68053677,-95.33004299
48201332300,29.66654619,-95.32349484
48201332400,29.65810925,-95.32881293
48201332500,29.66498466,-95.30720546
48201332600,29.67497869,-95.30697485
48201332700,29.68506624,-95.31393666
48201332800,29.69158939,-95.30744913
48201332900,29.69041922,-95.29047295
48201333000,29.68152143,-95.28492141
48201333100,29.67560798,-95.27850063
48201333201,29.66939644,-95.26995229
48201333202,29.65998196,-95.26462084
48201333300,29.63808028,-95.25343122
48201333500,29.66505503,-95.28296404
48201333600,29.65904184,-95.300049
48201333700,29.63561366,-95.29345132
48201333800,29.61220385,-95.28380017
48201333901,29.61357237,-95.25804185
48201333902,29.6178174,-95.24017939
48201334001,29.61553295,-95.22626852
48201334002,29.60834174,-95.21425691
48201334003,29.60549117,-95.23049267
48201334100,29.65399078,-95.41351288
48201340100,29.59365884,-95.18127393
48201340201,29.60933953,-95.16040284
48201340202,29.61580714,-95.12966026
48201340203,29.60791093,-95.10026422
48201340301,29.59149464,-95.12647509
48201340302,29.59605481,-95.11290303
48201340400,29.57975675,-95.11253975
48201340500,29.56708457,-95.12058504
48201340600,29.57586315,-95.13125243
48201340700,29.56277142,-95.13460724
48201340800,29.58149304,-95.14381875
48201340900,29.56632799,-95.15534416
48201341000,29.55102508,-95.14122474
48201341100,29.54230828,-95.12443344
48201341201,29.52684807,-95.11100738
48201341202,29.5450999,-95.08670529
48201341301,29.56895581,-95.090091
48201341302,29.55314874,-95.10738306
48201341400,29.58828452,-95.06341522
48201341501,29.57744359,-95.04060862
48201341502,29.56183213,-95.03603551
48201341600,29.5923629,-95.01480032
48201341700,29.62310446,-95.01177197
48201341800,29.63116562,-95.02553858
48201342001,29.64125322,-95.12909431
48201342002,29.63920674,-95.15263479
48201342100,29.65722811,-95.14224513
48201342200,29.67190734,-95.14639949
48201342300,29.67370026,-95.13121566
48201342400,29.69472112,-95.14836732
48201342500,29.69674658,-95.1335806
48201342700,29.69516835,-95.1186178
48201342800,29.69349,-95.10145831
48201342900,29.6717499,-95.10524428
48201343000,29.65769429,-95.10723941
48201343100,29.658388,-95.07933954
48201343200,29.6582809,-95.05538906
48201343301,29.68478256,-95.06520684
48201343302,29.66984944,-95.06680626
48201343600,29.71280263,-95.06267459
48201343700,29.63782001,-95.06066026
48201350100,29.57557098,-95.23603875
48201350200,29.59509246,-95.23243541
48201350300,29.58288356,-95.22485716
48201350400,29.59575882,-95.21008308
48201350500,29.58218335,-95.19581877
48201350601,29.55457842,-95.17262772
48201350602,29.53770845,-95.17736709
48201350700,29.53397192,-95.18698872
48201350801,29.52459404,-95.174451
48201350802,29.51811306,-95.1479792
48201410100,29.75726247,-95.38024077
