d_id,d_tract,d_lat,d_lon,h_id,h_tract,h_lat,h_lon,h_Workers
48039662300,48039662300,29.17545428,-95.42294532,48039662400,48039662400,29.19797998,-95.34683347,65
48039662500,48039662500,29.11817534,-95.54203842,48039662400,48039662400,29.19797998,-95.34683347,26
48039663300,48039663300,29.0367779,-95.44265546,48039662400,48039662400,29.19797998,-95.34683347,15
48039664100,48039664100,29.0814244,-95.31797924,48039662400,48039662400,29.19797998,-95.34683347,79
48039662000,48039662000,29.2295172,-95.6851081,48039662600,48039662600,29.1101486,-95.64410668,211
48039662500,48039662500,29.11817534,-95.54203842,48039662600,48039662600,29.1101486,-95.64410668,49
48039662700,48039662700,29.13926842,-95.78233537,48039662600,48039662600,29.1101486,-95.64410668,60
48039662800,48039662800,29.01854224,-95.69764984,48039662600,48039662600,29.1101486,-95.64410668,83
48039662900,48039662900,29.05950945,-95.61220737,48039662600,48039662600,29.1101486,-95.64410668,86
48039663000,48039663000,29.00762339,-95.53829521,48039662600,48039662600,29.1101486,-95.64410668,58
48039663200,48039663200,29.05234714,-95.44888179,48039662600,48039662600,29.1101486,-95.64410668,42
48039663300,48039663300,29.0367779,-95.44265546,48039662600,48039662600,29.1101486,-95.64410668,23
48039663400,48039663400,29.02503384,-95.45288876,48039662600,48039662600,29.1101486,-95.64410668,48
48039663500,48039663500,29.02638527,-95.42760382,48039662600,48039662600,29.1101486,-95.64410668,42
48039663700,48039663700,29.05789076,-95.41245918,48039662600,48039662600,29.1101486,-95.64410668,26
48039663800,48039663800,29.02957691,-95.41058212,48039662600,48039662600,29.1101486,-95.64410668,49
48039663900,48039663900,29.01406765,-95.40387811,48039662600,48039662600,29.1101486,-95.64410668,14
48039664200,48039664200,29.0496368,-95.23572448,48039662600,48039662600,29.1101486,-95.64410668,15
48039664300,48039664300,28.96811637,-95.36375648,48039662600,48039662600,29.1101486,-95.64410668,28
48039664400,48039664400,28.91471444,-95.38251199,48039662600,48039662600,29.1101486,-95.64410668,43
48039664501,48039664501,28.92675696,-95.53023815,48039662600,48039662600,29.1101486,-95.64410668,49
48321730100,48321730100,29.06156102,-95.9974272,48039662600,48039662600,29.1101486,-95.64410668,17
48321730201,48321730201,29.09965437,-95.90528846,48039662600,48039662600,29.1101486,-95.64410668,50
48321730202,48321730202,29.00163685,-95.82019362,48039662600,48039662600,29.1101486,-95.64410668,14
48321730301,48321730301,28.97568539,-95.95362722,48039662600,48039662600,29.1101486,-95.64410668,21
48321730302,48321730302,28.95587412,-95.96128139,48039662600,48039662600,29.1101486,-95.64410668,38
48321730400,48321730400,28.92317698,-95.9872288,48039662600,48039662600,29.1101486,-95.64410668,18
48039662000,48039662000,29.2295172,-95.6851081,48039662800,48039662800,29.01854224,-95.69764984,52
48039662600,48039662600,29.1101486,-95.64410668,48039662800,48039662800,29.01854224,-95.69764984,49
48039662700,48039662700,29.13926842,-95.78233537,48039662800,48039662800,29.01854224,-95.69764984,72
48039662900,48039662900,29.05950945,-95.61220737,48039662800,48039662800,29.01854224,-95.69764984,49
48039663000,48039663000,29.00762339,-95.53829521,48039662800,48039662800,29.01854224,-95.69764984,26
48039664501,48039664501,28.92675696,-95.53023815,48039662800,48039662800,29.01854224,-95.69764984,42
48321730400,48321730400,28.92317698,-95.9872288,48039662800,48039662800,29.01854224,-95.69764984,15
48039662600,48039662600,29.1101486,-95.64410668,48039662900,48039662900,29.05950945,-95.61220737,24
48039662700,48039662700,29.13926842,-95.78233537,48039662900,48039662900,29.05950945,-95.61220737,25
48039663000,48039663000,29.00762339,-95.53829521,48039662900,48039662900,29.05950945,-95.61220737,38
48039662900,48039662900,29.05950945,-95.61220737,48039663000,48039663000,29.00762339,-95.53829521,44
48039664000,48039664000,29.06424405,-95.38276581,48039663100,48039663100,29.08437165,-95.47516422,29
48039663100,48039663100,29.08437165,-95.47516422,48039663200,48039663200,29.05234714,-95.44888179,47
48039663500,48039663500,29.02638527,-95.42760382,48039663200,48039663200,29.05234714,-95.44888179,30
48039663600,48039663600,29.05058431,-95.42485836,48039663200,48039663200,29.05234714,-95.44888179,34
48039663800,48039663800,29.02957691,-95.41058212,48039663200,48039663200,29.05234714,-95.44888179,33
48039664000,48039664000,29.06424405,-95.38276581,48039663200,48039663200,29.05234714,-95.44888179,26
48039663000,48039663000,29.00762339,-95.53829521,48039663300,48039663300,29.0367779,-95.44265546,34
48039663100,48039663100,29.08437165,-95.47516422,48039663300,48039663300,29.0367779,-95.44265546,63
48039663200,48039663200,29.05234714,-95.44888179,48039663300,48039663300,29.0367779,-95.44265546,68
48039663400,48039663400,29.02503384,-95.45288876,48039663300,48039663300,29.0367779,-95.44265546,89
48039663500,48039663500,29.02638527,-95.42760382,48039663300,48039663300,29.0367779,-95.44265546,89
48039663600,48039663600,29.05058431,-95.42485836,48039663300,48039663300,29.0367779,-95.44265546,73
48039663700,48039663700,29.05789076,-95.41245918,48039663300,48039663300,29.0367779,-95.44265546,46
48039663800,48039663800,29.02957691,-95.41058212,48039663300,48039663300,29.0367779,-95.44265546,50
48039663900,48039663900,29.01406765,-95.40387811,48039663300,48039663300,29.0367779,-95.44265546,21
48039664000,48039664000,29.06424405,-95.38276581,48039663300,48039663300,29.0367779,-95.44265546,32
48039664100,48039664100,29.0814244,-95.31797924,48039663300,48039663300,29.0367779,-95.44265546,40
48039664300,48039664300,28.96811637,-95.36375648,48039663300,48039663300,29.0367779,-95.44265546,39
48039664400,48039664400,28.91471444,-95.38251199,48039663300,48039663300,29.0367779,-95.44265546,41
48039664501,48039664501,28.92675696,-95.53023815,48039663300,48039663300,29.0367779,-95.44265546,44
48039662000,48039662000,29.2295172,-95.6851081,48039663400,48039663400,29.02503384,-95.45288876,74
48039662100,48039662100,29.1968829,-95.50985132,48039663400,48039663400,29.02503384,-95.45288876,65
48039662200,48039662200,29.25422637,-95.40066328,48039663400,48039663400,29.02503384,-95.45288876,52
48039662300,48039662300,29.17545428,-95.42294532,48039663400,48039663400,29.02503384,-95.45288876,40
48039662400,48039662400,29.19797998,-95.34683347,48039663400,48039663400,29.02503384,-95.45288876,56
48039662500,48039662500,29.11817534,-95.54203842,48039663400,48039663400,29.02503384,-95.45288876,54
48039662600,48039662600,29.1101486,-95.64410668,48039663400,48039663400,29.02503384,-95.45288876,40
48039662700,48039662700,29.13926842,-95.78233537,48039663400,48039663400,29.02503384,-95.45288876,30
48039662800,48039662800,29.01854224,-95.69764984,48039663400,48039663400,29.02503384,-95.45288876,63
48039662900,48039662900,29.05950945,-95.61220737,48039663400,48039663400,29.02503384,-95.45288876,65
48039663000,48039663000,29.00762339,-95.53829521,48039663400,48039663400,29.02503384,-95.45288876,53
48039663100,48039663100,29.08437165,-95.47516422,48039663400,48039663400,29.02503384,-95.45288876,106
48039663200,48039663200,29.05234714,-95.44888179,48039663400,48039663400,29.02503384,-95.45288876,102
48039663300,48039663300,29.0367779,-95.44265546,48039663400,48039663400,29.02503384,-95.45288876,73
48039663500,48039663500,29.02638527,-95.42760382,48039663400,48039663400,29.02503384,-95.45288876,115
48039663600,48039663600,29.05058431,-95.42485836,48039663400,48039663400,29.02503384,-95.45288876,108
48039663700,48039663700,29.05789076,-95.41245918,48039663400,48039663400,29.02503384,-95.45288876,62
48039663800,48039663800,29.02957691,-95.41058212,48039663400,48039663400,29.02503384,-95.45288876,75
48039663900,48039663900,29.01406765,-95.40387811,48039663400,48039663400,29.02503384,-95.45288876,36
48039664000,48039664000,29.06424405,-95.38276581,48039663400,48039663400,29.02503384,-95.45288876,76
48039664100,48039664100,29.0814244,-95.31797924,48039663400,48039663400,29.02503384,-95.45288876,66
48039664200,48039664200,29.0496368,-95.23572448,48039663400,48039663400,29.02503384,-95.45288876,17
48039664300,48039664300,28.96811637,-95.36375648,48039663400,48039663400,29.02503384,-95.45288876,66
48039664400,48039664400,28.91471444,-95.38251199,48039663400,48039663400,29.02503384,-95.45288876,76
48039664501,48039664501,28.92675696,-95.53023815,48039663400,48039663400,29.02503384,-95.45288876,64
48039663200,48039663200,29.05234714,-95.44888179,48039663500,48039663500,29.02638527,-95.42760382,32
48039663300,48039663300,29.0367779,-95.44265546,48039663500,48039663500,29.02638527,-95.42760382,39
48039663600,48039663600,29.05058431,-95.42485836,48039663500,48039663500,29.02638527,-95.42760382,39
48039663700,48039663700,29.05789076,-95.41245918,48039663500,48039663500,29.02638527,-95.42760382,27
48039663800,48039663800,29.02957691,-95.41058212,48039663500,48039663500,29.02638527,-95.42760382,43
48039663900,48039663900,29.01406765,-95.40387811,48039663500,48039663500,29.02638527,-95.42760382,29
48039664000,48039664000,29.06424405,-95.38276581,48039663500,48039663500,29.02638527,-95.42760382,27
48039664200,48039664200,29.0496368,-95.23572448,48039663500,48039663500,29.02638527,-95.42760382,10
48039664300,48039664300,28.96811637,-95.36375648,48039663500,48039663500,29.02638527,-95.42760382,25
48039664400,48039664400,28.91471444,-95.38251199,48039663500,48039663500,29.02638527,-95.42760382,31
48039661900,48039661900,29.35259388,-95.49676933,48039663800,48039663800,29.02957691,-95.41058212,41
48039662000,48039662000,29.2295172,-95.6851081,48039663800,48039663800,29.02957691,-95.41058212,52
48039662100,48039662100,29.1968829,-95.50985132,48039663800,48039663800,29.02957691,-95.41058212,102
48039662200,48039662200,29.25422637,-95.40066328,48039663800,48039663800,29.02957691,-95.41058212,152
48039662300,48039662300,29.17545428,-95.42294532,48039663800,48039663800,29.02957691,-95.41058212,95
48039662400,48039662400,29.19797998,-95.34683347,48039663800,48039663800,29.02957691,-95.41058212,62
48039662500,48039662500,29.11817534,-95.54203842,48039663800,48039663800,29.02957691,-95.41058212,46
48039662600,48039662600,29.1101486,-95.64410668,48039663800,48039663800,29.02957691,-95.41058212,42
48039662800,48039662800,29.01854224,-95.69764984,48039663800,48039663800,29.02957691,-95.41058212,38
48039662900,48039662900,29.05950945,-95.61220737,48039663800,48039663800,29.02957691,-95.41058212,62
48039663000,48039663000,29.00762339,-95.53829521,48039663800,48039663800,29.02957691,-95.41058212,36
48039663100,48039663100,29.08437165,-95.47516422,48039663800,48039663800,29.02957691,-95.41058212,190
48039663200,48039663200,29.05234714,-95.44888179,48039663800,48039663800,29.02957691,-95.41058212,233
48039663300,48039663300,29.0367779,-95.44265546,48039663800,48039663800,29.02957691,-95.41058212,56
